wave[A],flux[1e-17cgs],err[1e-17cgs]
7004.115733484671,0.043709893,0.08807964
7004.466181713771,0.06376158,0.065850444
7004.816647477406,0.097847186,0.080668285
7005.167130776467,0.12733051,0.0847504
7005.517631611818,0.46334293,0.075085
7005.868149984342,0.6408552,0.11556168
7006.218685894926,0.8141588,0.096815
7006.5692393444315,0.8141588,0.093701646
7006.919810333751,0.8141588,0.11152087
7007.270398863747,0.7820933,0.078603186
7007.621004935312,0.55425805,0.089605466
7007.9716285493105,0.4920132,0.098006085
7008.322269706632,0.17260557,0.064643584
7008.672928408143,0.048406478,0.094498165
7009.023604654725,0.006804381,0.07016059
7009.3742984472665,-0.016544783,0.07695605
7009.725009786629,-0.016544783,0.08973417
7010.075738673705,-0.016544783,0.06791834
7010.4264851093585,-0.013192724,0.081244156
7010.777249094482,-0.013192724,0.0882107
7011.128030629939,0.008984665,0.061213028
7011.4788297166215,0.010171573,0.08529812
7011.829646355393,0.034907,0.065843806
7012.180480547142,0.30543163,0.07912039
7012.53133229275,0.62742627,0.10376584
7012.882201593083,0.810769,0.08664596
7013.233088449034,0.810769,0.10964199
7013.583992861465,0.810769,0.1297872
7013.934914831264,0.51675946,0.085272804
7014.285854359315,0.44239172,0.10309337
7014.636811446483,0.2957047,0.07093069
7014.98778609366,0.2957047,0.07877773
7015.3387783017115,0.2957047,0.09178114
7015.6897880715305,0.56361294,0.06904119
7016.04081540398,0.56361294,0.1015843
7016.391860299954,0.56361294,0.101509824
7016.742922760317,0.37904194,0.06540968
7017.094002785954,0.37904194,0.09135487
7017.445100377753,0.37904194,0.07088598
7017.796215536577,0.8097376,0.092591286
7018.147348263319,0.8097376,0.10338606
7018.498498558845,0.8097376,0.07396451
7018.849666424047,0.7224505,0.10280824
7019.200851859792,0.56927377,0.083168924
7019.552054866971,0.44928455,0.07267363
7019.90327544645,0.2550454,0.09314976
7020.254513599115,0.2550454,0.0719505
7020.6057693258535,0.2550454,0.08073125
7020.957042627529,0.34238195,0.0899734
7021.308333505036,0.7855054,0.07302518
7021.659641959239,0.9394562,0.10466128
7022.010967991032,0.9394562,0.08735965
7022.362311601281,0.9394562,0.09201921
7022.713672790879,0.67952484,0.102514654
7023.065051560691,0.4239624,0.071429506
7023.416447911605,0.05663202,0.08191397
7023.767861844506,0.017105062,0.08562197
7024.1192933602615,0.017105062,0.06422857
7024.470742459764,0.0070195314,0.090330854
7024.822209143879,0.0070195314,0.068057664
7025.173693413495,0.0070195314,0.08313752
7025.525195269497,0.08100052,0.08824735
7025.876714712753,0.08100052,0.06534265
7026.2282517441545,0.10749476,0.093292005
