wave[A],flux[1e-17cgs],err[1e-17cgs]
7004.115733578667,3.13345,0.32601178
7004.466181807764,3.1277363,0.2661054
7004.816647571411,3.13345,0.25898525
7005.167130870469,3.1277363,0.3132339
7005.517631705832,3.0635397,0.26273263
7005.868150078361,2.8797908,0.2504383
7006.2186859889425,2.8797908,0.3378497
7006.56923943846,2.791247,0.21719326
7006.919810427777,2.6859405,0.29676044
7007.270398957785,2.522626,0.24314363
7007.6210050293475,2.284715,0.24044475
7007.97162864335,1.2751913,0.2650615
7008.322269800677,0.93672,0.21082458
7008.672928502192,0.77960503,0.19444026
7009.023604748787,0.43794036,0.22889641
7009.374298541325,0.384613,0.16082284
7009.725009880699,0.11683336,0.22310272
7010.075738767773,0.11683336,0.19548103
7010.4264852034385,0.11683336,0.18528329
7010.777249188559,0.16694833,0.2399584
7011.12803072402,0.14310502,0.19942325
7011.478829810708,0.14310502,0.19868137
7011.829646449485,0.01666828,0.23171611
7012.180480641245,0.14310502,0.18103038
7012.531332386851,0.14310502,0.26445356
7012.882201687196,0.5163992,0.23220123
7013.233088543144,0.6291931,0.22424401
7013.583992955588,0.77967924,0.27272323
7013.93491492539,0.77967924,0.22261582
7014.285854453439,0.77967924,0.20392746
7014.636811540619,0.6769493,0.20227365
7014.987786187794,0.44755676,0.19875173
7015.338778395858,0.31826052,0.2432256
7015.689788165673,0.31826052,0.20883355
7016.040815498135,0.31826052,0.18590713
7016.3918603941065,0.44755676,0.24883921
7016.742922854482,0.4565243,0.19979496
7017.094002880123,0.53460616,0.20439656
7017.445100471919,0.7365984,0.21466294
7017.796215630755,1.0857064,0.21006568
7018.1473483574955,1.2186005,0.25188708
7018.4984986530335,1.2292756,0.2237508
7018.849666518234,1.6711291,0.21435778
7019.200851953982,2.1431088,0.28623918
7019.5520549611665,2.5231743,0.22842622
7019.90327554065,2.7484972,0.31257975
7020.254513693327,2.7484972,0.25048265
7020.605769420063,2.5231743,0.2551987
7020.9570427217495,2.339345,0.29476544
7021.308333599254,1.4779669,0.23192237
7021.65964205347,1.348165,0.20385705
7022.01096808526,1.031525,0.26323694
7022.362311695514,1.0147514,0.19242987
7022.7136728851165,1.0147514,0.2600331
7023.065051654934,1.031525,0.2220622
7023.416448005859,1.20494,0.20308867
7023.767861938758,2.0083225,0.28784752
7024.119293454525,2.0264623,0.24488397
7024.4707425540255,2.7136126,0.24133319
7024.822209238153,2.8784115,0.2590234
7025.173693507772,3.3892193,0.252986
7025.525195363773,3.3892193,0.30190215
7025.87671480704,3.4237773,0.26043504
7026.228251838439,3.3892193,0.26772028
7026.579806458866,3.2539072,0.33119848
7026.931378669185,3.1527658,0.22348842
7027.282968470291,3.1036212,0.2937584
7027.6345758630505,2.7881832,0.2595036
7027.986200848357,2.6510904,0.24257985
7028.337843427077,2.3279107,0.28995547
7028.689503600098,0.75234133,0.2111853
7029.041181368307,0.6419751,0.20298888
7029.392876732571,0.32712734,0.23539394
7029.7445896937825,0.22970983,0.17388035
7030.09632025281,0.18877351,0.2453349
7030.448068410548,0.17310642,0.19630247
7030.799834167862,0.13517652,0.18722716
7031.1516175256465,0.11024117,0.21812472
7031.503418484769,0.11024117,0.20373991
7031.855237046117,0.06424416,0.18454832
7032.207073210578,0.11024117,0.19941232
7032.558926979019,0.06424416,0.18850048
7032.910798352334,0.11198646,0.24558084
7033.26268733139,0.11198646,0.19612768
7033.6145939170765,0.20525996,0.19635098
7033.96651811028,0.40348417,0.25097838
7034.318459911867,0.61901915,0.180314
7034.670419322734,0.8407226,0.24389903
7035.0223963437475,0.8856114,0.2277457
7035.374390975802,0.8856114,0.2038775
7035.726403219765,0.8856114,0.25578833
7036.078433076533,0.6534382,0.20777544
7036.43048054697,0.33998907,0.18916452
7036.782545631968,0.2691343,0.1932849
7037.134628332414,0.2691343,0.18352255
7037.4867286491735,0.33998907,0.2373365
7037.838846583145,0.33998907,0.20207348
7038.190982135194,0.49160644,0.19906823
7038.543135306217,0.50052273,0.23923682
7038.89530609708,0.9509621,0.17953745
7039.247494508681,1.104476,0.2497655
7039.599700541885,1.5040514,0.22852616
7039.951924197583,1.5040514,0.22437586
7040.304165476662,1.5040514,0.2569197
7040.656424379991,1.1730615,0.19887026
7041.0087009084655,0.8587292,0.22204167
7041.360995062953,0.6051469,0.2022817
7041.71330684435,0.5007562,0.20214841
7042.065636253524,0.5007562,0.25701252
7042.417983291371,0.6051469,0.22237818
7042.770347958758,0.9345172,0.21602926
7043.122730256577,1.311157,0.23225187
7043.475130185714,1.400375,0.2177917
7043.827547747039,1.400375,0.27708456
7044.179982941448,1.400375,0.21150881
7044.532435769808,0.35798144,0.20704159
7044.884906233011,0.3364091,0.24866585
7045.2373943319435,0.062828004,0.17373307
7045.589900067475,-0.16660807,0.24261905
7045.942423440502,-0.16660807,0.20304379
7046.294964451894,-0.16660807,0.1891745
7046.647523102546,-0.100926705,0.24068129
7047.000099393327,-0.100926705,0.20055844
7047.352693325134,0.07461367,0.19568315
7047.705304898835,-0.100926705,0.19697398
7048.05793411532,-0.07099553,0.1962012
7048.410580975479,-0.07099553,0.25126755
7048.763245480181,-0.07099553,0.22699223
7049.1159276303215,-0.07099553,0.21438947
7049.468627426771,0.20864007,0.21480474
7049.8213448704255,0.26985165,0.18893494
7050.174079962155,0.26985165,0.2681264
7050.526832702855,0.26985165,0.21862584
7050.879603093395,0.2635462,0.20458227
7051.232391134667,-0.034534678,0.25618804
7051.585196827558,-0.11166912,0.17384145
7051.938020172939,-0.11166912,0.22843361
7052.290861171708,-0.11166912,0.20374839
7052.643719824732,-0.11166912,0.20278943
7052.99659613291,0.04428409,0.24611156
7053.349490097111,0.04428409,0.18153417
7053.702401718233,0.09786841,0.24558148
7054.055330997144,0.24431728,0.20386848
7054.408277934735,0.24431728,0.19761568
7054.7612425318985,0.2155295,0.25736094
7055.114224789501,0.24431728,0.21241707
7055.467224708443,0.43324712,0.19885837
7055.820242289591,0.61595327,0.2262538
7056.173277533846,0.62595856,0.19838707
7056.526330442075,0.62595856,0.2626072
7056.879401015178,0.61595327,0.21639322
7057.232489254024,0.27795252,0.20247918
7057.585595159503,0.21854907,0.21123128
7057.938718732507,0.063922726,0.19301885
7058.291859973907,0.063922726,0.24794786
7058.645018884598,0.042198118,0.21628544
7058.998195465453,-0.11333058,0.19353381
