wave[A],flux[1e-17cgs],err[1e-17cgs]
7004.115733484671,0.9709589,0.09311848
7004.466181713771,0.9709589,0.0915538
7004.816647477406,0.80904037,0.08670951
7005.167130776467,0.3325873,0.09822173
7005.517631611818,0.106046624,0.09113695
7005.868149984342,-0.014873122,0.089365214
7006.218685894926,-0.014873122,0.09158812
7006.5692393444315,0.103473976,0.06844421
7006.919810333751,0.093897134,0.08278357
7007.270398863747,0.093897134,0.0774008
7007.621004935312,0.103473976,0.06912045
7007.9716285493105,0.09614467,0.07870943
7008.322269706632,0.09614467,0.06684896
7008.672928408143,0.09614467,0.074056335
7009.023604654725,0.1469201,0.078876145
7009.3742984472665,0.18796481,0.06453979
7009.725009786629,0.19958776,0.08208426
7010.075738673705,0.40072313,0.073878005
7010.4264851093585,0.48458755,0.07118096
7010.777249094482,0.48458755,0.08629661
7011.128030629939,0.48458755,0.068407595
7011.4788297166215,0.39641663,0.083959706
7011.829646355393,0.29312506,0.091165856
7012.180480547142,0.18840688,0.07851783
7012.53133229275,0.18840688,0.113561876
7012.882201593083,0.18840688,0.09891014
7013.233088449034,0.39294884,0.10535605
7013.583992861465,0.6370333,0.11418237
7013.934914831264,0.90473956,0.085437715
7014.285854359315,0.90473956,0.09248627
7014.636811446483,0.90473956,0.090242065
7014.98778609366,0.49214622,0.07151345
7015.3387783017115,0.39206976,0.08300432
7015.6897880715305,0.12441566,0.0703347
7016.04081540398,0.104759,0.0762149
7016.391860299954,0.07891501,0.08034048
7016.742922760317,0.07891501,0.06703863
7017.094002785954,0.07891501,0.08372065
7017.445100377753,0.19228385,0.0719867
7017.796215536577,0.19228385,0.07135792
7018.147348263319,0.19228385,0.08190559
7018.498498558845,0.12831669,0.064459845
7018.849666424047,0.12831669,0.07985665
7019.200851859792,0.12831669,0.078386545
7019.552054866971,0.25512385,0.06636851
7019.90327544645,0.5159429,0.08363529
7020.254513599115,0.62350184,0.07574861
7020.6057693258535,0.78433573,0.08323706
7020.957042627529,0.78433573,0.09308577
7021.308333505036,0.78433573,0.072892234
7021.659641959239,0.7746122,0.09018019
7022.010967991032,0.45854115,0.08069709
7022.362311601281,0.088512406,0.072751336
7022.713672790879,0.059082303,0.08079736
7023.065051560691,0.05209426,0.06447675
7023.416447911605,0.04409373,0.073620416
7023.767861844506,-0.016129011,0.077763975
7024.1192933602615,-0.016129011,0.062528856
7024.470742459764,0.02649833,0.08017692
7024.822209143879,0.02649833,0.06737135
7025.173693413495,0.21688586,0.07397988
7025.525195269497,0.21688586,0.08090718
7025.876714712753,0.21688586,0.06612634
7026.2282517441545,0.06640615,0.07950607
7026.579806364569,0.014066688,0.075536676
7026.931378574891,0.014066688,0.07022892
7027.282968375986,0.06640615,0.08091234
7027.634575768747,0.25672632,0.06363154
7027.986200754041,0.28534392,0.07756402
7028.337843332757,0.33929905,0.08096336
7028.6895035057805,0.33929905,0.06982829
7029.041181273978,0.33929905,0.08443444
7029.392876638243,0.3126496,0.07522578
7029.744589599443,0.24482384,0.07606633
7030.096320158474,0.24482384,0.08216754
7030.448068316199,0.1928497,0.065785795
7030.799834073516,0.14535089,0.08625659
7031.151617431289,0.06106954,0.0760054
7031.503418390406,0.06106954,0.07295171
7031.8552369517565,0.052437626,0.080970705
7032.207073116206,0.06106954,0.06715922
