wave[A],flux[1e-17cgs],err[1e-17cgs]
7004.11573359299,1.6377443,0.070067495
7004.466181822088,1.6377443,0.09572354
7004.816647585736,1.6377443,0.07095478
7005.167130884795,0.78052455,0.11242722
7005.5176317201585,0.5369001,0.103362866
7005.868150092689,0.27214897,0.07447689
7006.218686003271,0.27214897,0.104233876
7006.569239452789,0.27214897,0.09428733
7006.919810442107,0.3427552,0.065084055
7007.270398972115,0.3427552,0.09242436
7007.621005043678,0.3427552,0.06322695
7007.9716286576895,0.16239236,0.085979514
7008.322269815009,0.16239236,0.08923679
7008.672928516532,0.16239236,0.06164252
7009.023604763121,0.16977265,0.07861408
7009.37429855566,0.40362552,0.088721864
7009.725009895034,1.0862145,0.066429764
7010.0757387821095,1.5894964,0.107946455
7010.426485217775,1.6259679,0.07080048
7010.777249202897,1.6556469,0.10021056
7011.128030738366,1.7685083,0.10485705
7011.478829825047,1.7703124,0.07210019
7011.829646463832,1.8508238,0.0990388
7012.180480655586,1.8508238,0.0984497
7012.531332401192,1.8508238,0.07970461
7012.882201701538,1.8213263,0.13513508
7013.233088557487,1.6280782,0.09649351
7013.5839929699305,1.6280782,0.13466233
7013.934914939735,1.6280782,0.12490996
7014.285854467785,1.7688155,0.072203316
7014.636811554965,1.9431353,0.096369796
7014.98778620214,1.9431353,0.09718215
7015.338778410204,1.7688155,0.06601774
7015.689788180021,1.6604451,0.09128011
7016.040815512483,1.4495456,0.06574136
7016.391860408456,0.82371557,0.09205935
7016.742922868832,0.6511704,0.09151688
7017.094002894474,0.64800495,0.06441696
7017.445100486271,0.62665254,0.08968674
7017.796215645108,0.48206782,0.07347826
7018.147348371848,0.4125627,0.074679464
7018.498498667387,0.31296733,0.08991546
7018.849666532587,0.29729494,0.06334733
7019.200851968345,0.29729494,0.0884884
7019.552054975522,0.31296733,0.089604765
7019.903275555013,0.9218185,0.0701581
7020.254513707684,1.158443,0.09520493
7020.605769434421,1.6936498,0.06865985
7020.957042736109,1.8419656,0.10088518
7021.308333613613,1.8419656,0.09152735
7021.65964206783,1.8419656,0.067287266
7022.010968099621,1.5962588,0.100876905
7022.362311709882,1.5962588,0.09919823
