wave[A],flux[1e-17cgs],err[1e-17cgs]
7004.115733484671,-0.008385611,0.054380666
7004.466181713771,-0.008385611,0.0533158
7004.816647477406,-0.0047050994,0.04452693
7005.167130776467,-0.008385611,0.051820938
7005.517631611818,-0.008385611,0.058292218
7005.868149984342,-0.0047050994,0.06313912
7006.218685894926,-0.0047050994,0.06698541
7006.5692393444315,-0.013575924,0.058436297
7006.919810333751,0.0056777406,0.061151832
7007.270398863747,0.03506588,0.05312072
7007.621004935312,0.03506588,0.044468388
7007.9716285493105,0.08002675,0.050733577
7008.322269706632,0.2240125,0.051619336
7008.672928408143,0.4486518,0.05032846
7009.023604654725,0.48224932,0.059871886
7009.3742984472665,0.48224932,0.050400604
7009.725009786629,0.48224932,0.0553491
7010.075738673705,0.33545184,0.058982816
7010.4264851093585,0.3201626,0.047220685
7010.777249094482,0.3201626,0.051369354
7011.128030629939,0.2766887,0.052699145
7011.4788297166215,0.24363664,0.04806763
7011.829646355393,0.24363664,0.05040112
7012.180480547142,0.09014551,0.04438343
7012.53133229275,0.09014551,0.053988464
7012.882201593083,0.09014551,0.070550546
7013.233088449034,0.20844007,0.06590241
7013.583992861465,0.51425004,0.075575575
7013.934914831264,0.56488025,0.07900564
7014.285854359315,0.56488025,0.065416805
7014.636811446483,0.51425004,0.06283736
7014.98778609366,0.22845493,0.047073964
7015.3387783017115,0.13970387,0.048277207
7015.6897880715305,0.13970387,0.057134073
7016.04081540398,0.13970387,0.04476671
7016.391860299954,0.20144898,0.050216094
7016.742922760317,0.20144898,0.05236034
7017.094002785954,0.20144898,0.049808387
7017.445100377753,0.10855801,0.054866605
7017.796215536577,0.009847973,0.046128962
7018.147348263319,0.009847973,0.048850175
7018.498498558845,0.009847973,0.056729745
7018.849666424047,0.021748269,0.04564092
7019.200851859792,0.09996034,0.052797496
7019.552054866971,0.13907723,0.046738926
7019.90327544645,0.2803463,0.05472911
7020.254513599115,0.36963454,0.054730415
7020.6057693258535,0.391298,0.047953695
7020.957042627529,0.391298,0.052356627
7021.308333505036,0.391298,0.05283231
7021.659641959239,0.26024053,0.05137057
7022.010967991032,0.21732807,0.05619637
7022.362311601281,0.21732807,0.048310507
7022.713672790879,0.209498,0.052209757
7023.065051560691,0.209498,0.059899833
7023.416447911605,0.209498,0.04735602
7023.767861844506,0.16874762,0.050585195
7024.1192933602615,0.074743375,0.05149989
7024.470742459764,0.065292075,0.047505546
7024.822209143879,0.065292075,0.052800883
7025.173693413495,0.065292075,0.044694234
7025.525195269497,0.05626079,0.050872285
7025.876714712753,0.05626079,0.05933803
7026.2282517441545,0.03903907,0.04482004
7026.579806364569,0.013500972,0.05106983
7026.931378574891,0.013500972,0.04833547
7027.282968375986,0.013571342,0.054185253
7027.634575768747,0.013994954,0.057102483
7027.986200754041,0.013571342,0.045066893
7028.337843332757,0.013994954,0.049122926
7028.6895035057805,0.013994954,0.051185694
7029.041181273978,0.013994954,0.046426736
7029.392876638243,0.03126937,0.053269655
7029.744589599443,0.03294968,0.046756316
7030.096320158474,0.03294968,0.05228453
7030.448068316199,0.08193026,0.059051022
7030.799834073516,0.20665798,0.04656847
7031.151617431289,0.4024915,0.05300905
7031.503418390406,0.5600895,0.04897345
7031.8552369517565,0.7841078,0.060069256
7032.207073116206,0.9725621,0.06402149
7032.558926884649,0.9725621,0.05210557
7032.910798257953,0.9725621,0.058754414
7033.262687237011,0.96814185,0.061412234
7033.614593822693,0.91799295,0.05670666
7033.966518015891,0.8537858,0.062359996
7034.318459817474,0.8119788,0.053528093
7034.670419228329,0.7733911,0.054763637
7035.022396249345,0.5471118,0.062703274
7035.374390881388,0.28899452,0.048124824
7035.726403125353,0.14212027,0.051294096
